Time,Channel A,Channel B
(us),(mV),(mV)

-4.80388767,2.06305122,-0.25940731
-4.79988767,1.76396978,0.00000000
-4.79588767,1.86162913,-0.25940731
-4.79188767,2.06305122,-2.96029520
-4.78788767,2.06305122,-3.95214677
-4.78388767,1.86162913,-1.48014760
-4.77988767,2.25836945,-1.48014760
-4.77588767,1.96539199,-1.23599958
-4.77188767,1.96539199,-3.46385050
-4.76788767,1.76396978,-2.22785115
-4.76388767,1.96539199,-1.73955488
-4.75988767,2.35602903,-1.73955488
-4.75588767,2.35602903,-3.21970248
-4.75188767,2.16071033,-2.47199917
-4.74788767,2.06305122,-2.96029520
-4.74388767,1.86162913,-1.48014760
-4.73988767,1.47099209,-2.96029520
-4.73588767,1.76396978,-2.96029520
-4.73188767,1.47099209,-3.70799875
-4.72788767,1.27567363,-1.48014760
-4.72388767,1.86162913,-0.50355536
-4.71988767,2.06305122,-2.96029520
-4.71588767,2.35602903,-1.98370302
-4.71188767,2.45368814,-3.46385050
-4.70788767,2.35602903,-2.22785115
-4.70388767,1.76396978,-1.48014760
-4.69988767,1.96539199,-1.48014760
-4.69588767,1.56865132,-1.23599958
-4.69188768,2.06305122,-2.96029520
-4.68788768,2.25836945,-0.99185151
-4.68388768,2.16071033,-0.50355536
-4.67988768,1.76396978,0.24414806
-4.67588768,1.47099209,-1.48014760
-4.67188768,1.76396978,-2.71614718
-4.66788768,1.96539199,-3.21970248
-4.66388768,2.16071033,-1.48014760
-4.65988768,1.76396978,-1.73955488
-4.65588768,2.06305122,-0.99185151
-4.65188768,2.16071033,-0.99185151
-4.64788768,1.96539199,-2.71614718
-4.64388768,1.76396978,-2.22785115
-4.63988768,1.96539199,-3.46385050
-4.63588768,2.25836945,0.24414806
-4.63188768,1.96539199,-0.50355536
-4.62788768,2.16071033,-3.95214677
-4.62388768,1.76396978,-4.44044304
-4.61988768,2.35602903,0.73244417
-4.61588768,1.96539199,-2.71614718
-4.61188768,2.06305122,0.00000000
-4.60788768,1.66631055,-1.98370302
-4.60388768,2.16071033,-3.70799875
-4.59988768,2.06305122,-2.47199917
-4.59588768,1.76396978,-2.47199917
-4.59188768,1.86162913,-2.71614718
-4.58788768,2.25836945,-0.25940731
-4.58388768,1.76396978,-0.74770343
-4.57988768,1.47099209,-2.22785115
-4.57588768,1.56865132,-0.25940731
-4.57188768,1.96539199,0.73244417
-4.56788768,1.86162913,-0.99185151
-4.56388768,1.66631055,-0.50355536
-4.55988768,2.25836945,-1.48014760
-4.55588768,2.35602903,-2.22785115
-4.55188768,2.35602903,-2.71614718
-4.54788768,1.86162913,-3.21970248
-4.54388768,1.56865132,-3.21970248
-4.53988768,2.45368814,-2.71614718
-4.53588768,1.96539199,-1.73955488
-4.53188768,1.96539199,-2.47199917
-4.52788768,1.37333298,-0.99185151
-4.52388768,2.25836945,-2.71614718
-4.51988768,2.16071033,-0.99185151
-4.51588768,1.66631055,-0.50355536
-4.51188768,2.25836945,-1.23599958
-4.50788768,2.16071033,-3.95214677
-4.50388768,1.86162913,-1.23599958
-4.49988768,2.16071033,0.48829612
-4.49588768,1.86162913,-2.96029520
-4.49188768,1.76396978,-1.73955488
-4.48788768,1.76396978,-0.50355536
-4.48388768,1.56865132,-2.71614718
-4.47988768,2.16071033,-1.23599958
-4.47588768,1.56865132,-0.25940731
-4.47188768,2.16071033,-1.23599958
-4.46788768,2.35602903,-1.48014760
-4.46388768,1.76396978,-3.21970248
-4.45988768,2.25836945,0.97659224
-4.45588768,2.35602903,-3.95214677
-4.45188768,1.86162913,-4.19629478
-4.44788768,1.96539199,-2.22785115
-4.44388768,1.86162913,-1.23599958
-4.43988768,2.25836945,-1.48014760
-4.43588768,1.86162913,-2.71614718
-4.43188768,1.66631055,-0.99185151
-4.42788768,2.35602903,0.48829612
-4.42388768,2.35602903,-2.47199917
-4.41988768,2.45368814,-2.22785115
-4.41588768,1.66631055,-1.48014760
-4.41188768,2.06305122,-3.21970248
-4.40788768,1.96539199,0.00000000
-4.40388768,1.66631055,-0.50355536
-4.39988768,1.17801452,-0.50355536
-4.39588768,1.66631055,-2.47199917
-4.39188768,2.25836945,-1.48014760
-4.38788768,2.25836945,-2.22785115
-4.38388768,1.56865132,-3.21970248
-4.37988768,2.25836945,-3.21970248
-4.37588768,1.47099209,0.73244417
-4.37188768,2.16071033,-0.99185151
-4.36788768,2.06305122,-3.95214677
-4.36388768,2.16071033,-2.47199917
-4.35988768,2.06305122,-1.48014760
-4.35588768,2.16071033,-3.70799875
-4.35188768,1.86162913,-1.73955488
-4.34788768,2.16071033,-0.99185151
-4.34388768,2.85042882,-0.25940731
-4.33988769,1.96539199,-0.50355536
-4.33588769,1.37333298,-3.70799875
-4.33188769,2.16071033,-2.96029520
-4.32788769,2.06305122,0.00000000
-4.32388769,2.16071033,-2.22785115
-4.31988769,1.96539199,-1.98370302
-4.31588769,2.55134726,-0.74770343
-4.31188769,2.25836945,0.00000000
-4.30788769,2.06305122,-2.47199917
-4.30388769,1.86162913,-1.48014760
-4.29988769,2.35602903,-3.46385050
-4.29588769,1.86162913,-1.23599958
-4.29188769,1.66631055,-2.96029520
-4.28788769,2.16071033,-3.46385050
-4.28388769,2.25836945,-1.48014760
-4.27988769,2.25836945,-1.98370302
-4.27588769,2.25836945,-1.73955488
-4.27188769,1.76396978,-4.69985008
-4.26788769,1.86162913,0.24414806
-4.26388769,2.94808793,-1.48014760
-4.25988769,1.96539199,-0.99185151
-4.25588769,1.96539199,-2.71614718
-4.25188769,1.86162913,-2.71614718
-4.24788769,2.74666595,-0.25940731
-4.24388769,1.76396978,0.24414806
-4.23988769,2.16071033,0.00000000
-4.23588769,1.66631055,-1.23599958
-4.23188769,2.16071033,-3.70799875
-4.22788769,1.47099209,-0.50355536
-4.22388769,1.86162913,-2.22785115
-4.21988769,1.86162913,-2.96029520
-4.21588769,1.76396978,-2.71614718
-4.21188769,1.56865132,-1.98370302
-4.20788769,2.25836945,-2.47199917
-4.20388769,2.06305122,-1.73955488
-4.19988769,2.06305122,0.24414806
-4.19588769,1.56865132,-2.22785115
-4.19188769,1.56865132,0.00000000
-4.18788769,2.06305122,0.97659224
-4.18388769,1.66631055,-0.99185151
-4.17988769,2.06305122,0.24414806
-4.17588769,1.76396978,-1.23599958
-4.17188769,2.35602903,-2.22785115
-4.16788769,1.66631055,-1.23599958
-4.16388769,1.47099209,-0.50355536
-4.15988769,1.86162913,-3.70799875
-4.15588769,2.16071033,-0.74770343
-4.15188769,1.86162913,-0.50355536
-4.14788769,1.66631055,-3.95214677
-4.14388769,2.06305122,-1.23599958
-4.13988769,2.16071033,-0.25940731
-4.13588769,1.37333298,-1.48014760
-4.13188769,1.76396978,-0.50355536
-4.12788769,2.45368814,-1.73955488
-4.12388769,2.45368814,-3.95214677
-4.11988769,1.96539199,-1.73955488
-4.11588769,2.06305122,-1.73955488
-4.11188769,1.86162913,0.00000000
-4.10788769,2.55134726,0.24414806
-4.10388769,1.86162913,-4.19629478
